ear,mar,perclos,pose,yawn_detected,label
0.4350772189173139,0.27142446014283844,0.0,0.0,0.0,1
0.4519049298937579,0.34789198424412754,0.0,0.0,0.0,1
0.48648929867137464,0.32011883011092707,0.0,0.0,0.0,1
0.5635311279555444,0.3465195479065712,0.0,0.0,0.0,1
0.6428167857587381,0.35997193495457475,0.0,0.0,0.0,1
0.5959554779225799,0.31092776148978357,0.0,0.0,0.0,1
0.5657094290798598,0.3227076587830919,0.0,0.0,0.0,1
0.5198076911901057,0.3307287583404443,0.0,0.0,0.0,1
0.5278627385285949,0.28049979884814974,0.0,0.0,0.0,1
0.5350872124062284,0.3000910361511539,0.0,0.0,0.0,1
0.6029968774909092,0.3055409641922939,0.0,0.0,0.0,1
0.5216624705537761,0.2879883847401938,0.0,0.0,0.0,1
0.5560222763551209,0.3124620964398415,0.0,0.0,0.0,1
0.5526794603776716,0.3082967203770091,0.0,0.0,0.0,1
0.515168862577468,0.3149352261980078,0.0,0.0,0.0,1
0.4630077770393467,0.29475443594861467,0.0,0.0,0.0,1
0.43703978828721285,0.28593644460039885,0.0,0.0,0.0,1
0.47842729214231866,0.33075263302504104,0.0,0.0,0.0,1
0.4642810875871121,0.31655747274479334,0.0,0.0,0.0,1
0.4630625440293677,0.3183833006200471,0.0,0.0,0.0,1
0.4611708659694457,0.4129972220879688,0.0,0.0,0.0,1
0.43823670551200256,0.2683150200853858,0.0,0.0,0.0,1
0.4370873196045344,0.3178666987675221,0.0,0.0,0.0,1
0.47760615745912066,0.32924755497077424,0.0,0.0,0.0,1
0.4082277718222613,0.2841176678635506,0.0,0.0,0.0,1
0.4361203750147991,0.3369676981929151,0.0,0.0,0.0,1
0.4295512867655069,0.2924085944271189,0.0,0.0,0.0,1
0.422064268507846,0.322186006775309,0.0,0.0,0.0,1
0.4340564475103215,0.2913211653424405,0.0,0.0,0.0,1
0.4397078477539535,0.2929520459433474,0.0,0.0,0.0,1
0.46650614634635607,0.30151623846516334,0.0,0.0,0.0,1
0.3196925667173977,0.2995691907124553,1.0,0.0,0.0,1
0.38256681096218587,0.3016669359309026,1.0,0.0,0.0,1
0.3345003875016041,0.2938264340696866,1.0,0.0,0.0,1
0.37202208109478424,0.2811980461062888,1.0,0.0,0.0,1
0.3650195343520154,0.32939247930156984,1.0,0.0,0.0,1
0.38307634994096307,0.3158860830759051,1.0,0.0,0.0,1
0.40472248531889615,0.31985809600969745,0.0,0.0,0.0,1
0.4120333131203966,0.2883689828208062,0.0,0.0,0.0,1
0.3978405201696604,0.31301763269827926,0.0,0.0,0.0,1
0.3877510287483869,0.2882337515843176,1.0,0.0,0.0,1
0.4097117759817027,0.29514005619289424,0.0,0.0,0.0,1
0.40000393185151684,0.2855122586764602,0.0,0.0,0.0,1
0.3837984915905239,0.31524805053719746,1.0,0.0,0.0,1
0.3760231786489351,0.28961087295757176,1.0,0.0,0.0,1
0.3841891545663404,0.3067909540204667,1.0,0.0,0.0,1
0.37785810331438563,0.29921774911587046,1.0,0.0,0.0,1
0.39912932582192456,0.30542687669446583,0.0,0.0,0.0,1
0.40505147694522015,0.2943011543134985,0.0,0.0,0.0,1
0.40023389787235686,0.3075217242900326,0.0,0.0,0.0,1
0.4228083561619288,0.313831408270486,0.0,0.0,0.0,1
0.40864587191788526,0.3197137227802404,0.0,0.0,0.0,1
0.41422324941203237,0.30077187342682626,0.0,0.0,0.0,1
0.4058518791525236,0.30286329530844297,0.0,0.0,0.0,1
0.4265881227171634,0.30201990947621643,0.0,0.0,0.0,1
0.4088348780516996,0.30300773752242577,0.0,0.0,0.0,1
0.39794967840050177,0.2918188010936648,0.0,0.0,0.0,1
0.22582546971425752,0.3481825144393113,1.0,0.0,0.0,1
0.2121314803509611,0.3118940303632474,1.0,0.0,0.0,1
0.3954232901394481,0.29995195900620747,0.0,0.0,0.0,1
0.4094426528811046,0.29944872614753176,0.0,0.0,0.0,1
0.4302693766622598,0.3373497195066654,0.0,0.0,0.0,1
0.4117469182801336,0.2963209996766308,0.0,0.0,0.0,1
0.40391812558698886,0.2872544829255533,0.0,0.0,0.0,1
0.3337563811400656,0.2693588189730333,1.0,0.0,0.0,1
